260,181,snow
301,170,snow
289,134,snow
599,328,snow
232,233,snow
316,209,snow
313,142,snow
169,253,snow
361,75,snow
348,241,snow
324,170,snow
360,161,canada
318,229,snow
284,319,snow
611,240,snow
303,180,snow
324,158,snow
375,192,snow
317,207,snow
369,135,snow
399,228,snow
355,240,snow
391,188,blue
313,158,snow
615,244,snow
615,312,snow
389,271,snow
416,184,snow
230,271,snow
324,146,snow
253,217,snow
290,81,snow
330,211,snow
220,271,snow
360,158,snow
316,159,snow
208,225,snow
241,126,snow
595,244,snow
